iso3,source,scenario,pop_year,first_pop_total,second_pop_total,pop_total_abs_change,pop_total_pct_change,first_pop_inside_all,second_pop_inside_all,pop_inside_all_abs_change,pop_inside_all_pct_change,first_pop_inside_or_10km_all,second_pop_inside_or_10km_all,pop_inside_or_10km_all_abs_change,pop_inside_or_10km_all_pct_change,first_area_inside_all,second_area_inside_all,area_inside_all_abs_change,area_inside_all_pct_change,first_area_inside_or_10km_all,second_area_inside_or_10km_all,area_inside_or_10km_all_abs_change,area_inside_or_10km_all_pct_change,first_count_strict,second_count_strict,first_count_nonstrict,second_count_nonstrict,first_count_unknowncat,second_count_unknowncat
YEM,GHSL,Confirmed_2020,2020,32153572.43786563,32232378.8125,78806.37463437021,0.24509368216131389,10390.183213586315,11103.2216796875,713.0384661011849,6.862616870593852,70502.53908276756,70747.2490234375,244.70994066994172,0.34709379811507307,2764.81135225635,2800.755126953125,35.94377469677511,1.3000443834058175,3706.1562797283245,3760.1268310546875,53.970551326362965,1.456240569820742,0,0,0,0,1,1
YEM,GHSL,Unknown_Year,2020,32153572.43786563,32232378.8125,78806.37463437021,0.24509368216131389,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
ZMB,GHSL,Confirmed_2000,2000,9880920.475046465,9889863.875,8943.399953534827,0.09051180986751915,786906.9231616673,813289.3399505615,26382.416788894217,3.352673106864259,7208313.10775681,6529291.842758179,-679021.2649986316,-9.419974616085169,231586.23604027886,239426.35440063477,7840.118360355904,3.3853991041990525,509527.1503463657,477086.2463684082,-32440.903977957496,-6.366864642228557,8,7,19,20,103,101
ZMB,GHSL,Confirmed_2020,2020,18915691.782163277,18930559.25,14867.467836722732,0.0785985942673381,1506929.149667051,1558386.3501281738,51457.200461122906,3.4147060246656014,13688495.632435774,12207091.813018799,-1481403.8194169756,-10.822254389347897,235429.02455760923,243563.3928375244,8134.368279915187,3.4551255076557967,515202.6335349806,481988.5156402588,-33214.1178947218,-6.446806699497717,8,7,19,20,107,102
ZMB,GHSL,Unknown_Year,2020,18915691.782163277,18930559.25,14867.467836722732,0.0785985942673381,111055.57780898725,110220.30648803711,-835.271320950138,-0.7521200982689796,2915164.6847490687,2604473.447113037,-310691.2376360316,-10.657759380162608,8814.657876693154,8751.209365844727,-63.44851084842776,-0.7198068460058107,73119.3777213363,59780.92152404785,-13338.456197288455,-18.242026413466427,0,0,1,0,25,25
ZWE,GHSL,Confirmed_2000,2000,11826841.030957581,11825891.25,-949.7809575814754,-0.008030723970123192,66427.70616219407,67741.43175506592,1313.7255928718514,1.9776771903942858,1759882.3151080827,1449608.3781308848,-310273.9369771979,-17.630379844924036,46885.92269423705,49207.87835919857,2321.955664961519,4.9523514341478885,110085.29664726944,100103.407563649,-9981.889083620437,-9.067413530804188,11,5,14,12,23,17
ZWE,GHSL,Confirmed_2020,2020,15675728.227455132,15671149.875,-4578.35245513171,-0.029206633265770644,605713.9759511839,661010.489364624,55296.51341344009,9.12914603408401,5322873.487584177,4883852.637802124,-439020.8497820534,-8.247816725422606,74457.78775711019,78859.7331956625,4401.945438552313,5.912001378434668,161897.60871603905,152032.60598313808,-9865.00273290096,-6.093359136763855,11,5,14,12,71,64
ZWE,GHSL,Unknown_Year,2020,15675728.227455132,15671149.875,-4578.35245513171,-0.029206633265770644,97111.1449164992,95097.45403814316,-2013.6908783560357,-2.073594004156272,1124737.766447404,869834.7891885266,-254902.97725887736,-22.663325164586034,7238.571687768759,7215.664701461792,-22.906986306967156,-0.3164572694040429,29007.773290473626,22148.150427222252,-6859.622863251374,-23.647533351014317,0,0,2,1,8,8
AFG,WP,Confirmed_2000,2000,17257150.435252573,20054409.484375,2797259.0491224267,16.209275451457152,7385.335580844855,0,-7385.335580844855,-100,105960.3223980382,0,-105960.3223980382,-100,324.4588570616445,0,-324.4588570616445,-100,3963.903874286421,0,-3963.903874286421,-100,3,0,2,0,2,0
AFG,WP,Confirmed_2020,2020,25907687.04002664,30111458.8984375,4203771.858410861,16.225963560221157,240479.70035111625,281103.8143310547,40624.11397993844,16.892949351078094,3529653.4317614776,3840004.4857177734,310351.05395629583,8.792677806937402,21567.669312044978,21650.315518975258,82.64620693027973,0.38319489108692883,38433.3844936049,33489.12582170963,-4944.258671895266,-12.864489393896505,5,2,2,2,2,0
AFG,WP,Unknown_Year,2020,25907687.040026635,30111458.8984375,4203771.858410865,16.22596356022117,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
AGO,WP,Confirmed_2000,2000,17369927.92003065,20171280.1328125,2801352.2127818502,16.127598373919486,193124.12668860023,224365.0349472612,31240.908258660987,16.176595226258222,537902.6089567321,535251.5805634111,-2651.028393320972,-0.4928454239072516,82176.7447436813,81919.42265784368,-257.3220858376153,-0.3131324885650222,133246.72664066375,119013.38109290227,-14233.345547761477,-10.68194762198218,3,2,2,2,9,0
AGO,WP,Confirmed_2020,2020,31100447.35334096,36164342.21875,5063894.865409039,16.28238593444236,486344.2364322385,564789.0831009,78444.84666866157,16.129490347027307,1485862.9472450942,1337356.63753663,-148506.3097084642,-9.994616931784083,82236.54229839955,81919.42265784368,-317.11964055587305,-0.3856188887480069,138016.55183890587,119013.38109290227,-19003.170746003598,-13.768762146865013,3,2,2,2,11,0
AGO,WP,Unknown_Year,2020,31100447.353340972,36164342.21875,5063894.865409028,16.282385934442317,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
BEN,WP,Confirmed_2000,2000,5369237.891189776,6223864.375,854626.4838102236,15.917091049598584,254817.08684341252,297632.3882217407,42815.30137832821,16.802366712809416,1344849.401308418,1177477.5874404907,-167371.8138679273,-12.445394533030205,24339.895643321623,24707.64221739769,367.7465740760672,1.510879830649436,62694.60212092812,55276.79369902611,-7417.808421902009,-11.831654035532777,4,2,4,2,11,10
BEN,WP,Confirmed_2020,2020,11057796.26612337,12839377.4375,1781581.1713766307,16.111539121358902,561373.2790889377,658494.030456543,97120.75136760529,17.300565414375303,2848965.1268837913,2548874.030456543,-300091.0964272483,-10.533336950862894,24340.76387884384,24707.64221739769,366.87833855384815,1.5072589355863488,62749.265407556886,55276.79369902611,-7472.471708530778,-11.908460856070628,5,2,4,2,11,10
BEN,WP,Unknown_Year,2020,11057796.26612337,12839377.4375,1781581.1713766307,16.111539121358902,3164.577939915891,0,-3164.577939915891,-100,209360.59107263858,0,-209360.59107263858,-100.00000000000001,74.18445743264667,0,-74.18445743264667,-100,2309.4904970305624,0,-2309.4904970305624,-100,0,0,0,0,4,0
