system:index,area_nonstrict,area_strict,area_total_pa,area_unknown,count_nonstrict,count_strict,count_total,count_unknown,iso3,nat_pop_gh_00,nat_pop_gh_20,nat_pop_wp_00,nat_pop_wp_20,.geo
31,7670.197392586852,33810.08365384818,62672.0400652442,21191.75901880916,15,30,228,183,KEN,4927717.420430946,8334763.976198557,4050526.8070139377,7582637.273100865,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0,0.0,0.0,0.0,0,0,0,0,KIR,5152.663861152301,8726.494769407407,3892.553609916385,7482.943963240968,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.0,0.0,0.0,0.0,0,0,0,0,PRK,4763913.750772933,5254351.381678636,3112152.893096353,3150693.1178584313,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2745.7385355233127,3173.0579028183483,5937.594633718651,18.798195376992226,16,12,29,1,KGZ,1047948.8070565712,1372512.7981305905,720332.7396778108,811807.7183760931,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,31327.636677716102,9813.994846712534,42466.70661752474,1325.0750930961003,21,3,27,3,LAO,889979.6175924306,1199706.8652359224,683332.5230329368,1010282.7066063622,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,68.49498338591235,0.0,141.78576554696934,73.290782161057,1,0,3,2,LSO,368879.88078361325,415332.9140613244,255693.4729789656,256764.93407903487,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.0,0.0,3459.153269305825,3459.153269305825,0,0,4,4,LBR,461321.36856807827,809479.855935609,398830.8152866614,620838.9316255588,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,19085.428817337193,23146.503200111056,43275.366350527096,1043.4343330788408,32,22,71,17,MDG,2715728.059556736,4738473.318722476,2104878.4787463825,3818472.204453191,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,3804.2673742723673,6879.559757585573,17643.40457128245,6959.577439424512,4,5,54,45,MWI,1850330.7065821895,3195499.1290559354,1447778.9642523672,2549524.6208232734,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,46895.710260210544,2031.1440692063347,92568.49681850814,43641.64248909126,124,6,135,5,MLI,1837571.31301299,3472187.581479778,1425770.25141472,3182612.9458360774,"{""type"":""MultiPoint"",""coordinates"":[]}"
